ClueId,ClueDifficulty,CluePoints,ClueText,CreatedAt,MovieId,UpdatedAt
21,10,1,Bed,NOW(),3,NOW()
22,9,2,Pig,NOW(),3,NOW()
23,8,3,Cowboy boots,NOW(),3,NOW()
24,7,4,Birthday party,NOW(),3,NOW()
25,6,5,Moving truck,NOW(),3,NOW()
26,5,6,Crane game,NOW(),3,NOW()
27,4,7,Pizza delivery,NOW(),3,NOW()
28,3,8,Baby doll head,NOW(),3,NOW()
29,2,9,Beyond,NOW(),3,NOW()
30,1,10,Andy,NOW(),3,NOW()
11,10,1,Eggs,NOW(),2,NOW()
12,9,2,Election,NOW(),2,NOW()
13,8,3,Crystals,NOW(),2,NOW()
14,7,4,ATV,NOW(),2,NOW()
15,6,5,Football,NOW(),2,NOW()
16,5,6,Dance,NOW(),2,NOW()
17,4,7,Tetherball,NOW(),2,NOW()
18,3,8,Tots,NOW(),2,NOW()
19,2,9,Liger,NOW(),2,NOW()
20,1,10,LaFawnda,NOW(),2,NOW()
31,10,1,Chess,NOW(),4,NOW()
32,9,2,Tar,NOW(),4,NOW()
33,8,3,Murder,NOW(),4,NOW()
34,7,4,Harmonica,NOW(),4,NOW()
35,6,5,Pie,NOW(),4,NOW()
36,5,6,Taxes,NOW(),4,NOW()
37,4,7,Suds,NOW(),4,NOW()
38,3,8,Library,NOW(),4,NOW()
39,2,9,Limestone,NOW(),4,NOW()
40,1,10,Red,NOW(),4,NOW()
41,10,1,School bus,NOW(),5,NOW()
42,9,2,Shampoo,NOW(),5,NOW()
43,8,3,Rottweiler,NOW(),5,NOW()
44,7,4,Secretary,NOW(),5,NOW()
45,6,5,Mileage,NOW(),5,NOW()
46,5,6,My hero,NOW(),5,NOW()
47,4,7,Sausage,NOW(),5,NOW()
48,3,8,Float,NOW(),5,NOW()
49,2,9,$5,NOW(),5,NOW()
50,1,10,Ed Rooney,NOW(),5,NOW()
