HintsId,Genre,ReleaseYear,Director,MovieId
1,"Crime, Drama",1990,Martin Scorsese,1
2,Comedy,2004,Jared Hess,2
3,"Animation, Adventure, Comedy",1995,John Lasseter,3
4,Drama,1994,Frank Darabont,4
5,Comedy,1986,John Hughes,5
6,"Adventure, Sci-Fi, Thriller",1993,Steven Spielberg,6
7,"Drama, Romance",1994,Robert Zemeckis,7
8,"Biography, Comedy, Crime",2013,Martin Scorsese,8
9,"Comedy, Romance",2000,Jay Roach,9
10,"Adventure, Comedy",1995,Peter Segal,10
11,"Comedy, Drama, Music",2016,Damien Chazelle,11
12,Comedy,2007,Greg Mottola,12
